GeographyCode,Europe,Africa,Middle East and Asia,The Americas and the Caribbean,Antarctica and Oceania
E01006512,910,106,840,24,0
E01006513,2225,61,595,53,7
E01006514,1786,63,193,61,5
E01006515,974,29,185,18,2
E01006518,1531,69,73,19,4
E01006519,1238,7,24,14,3
E01006520,1607,31,36,26,6
E01006521,1540,35,62,18,5
E01006522,1632,19,58,13,9
E01006523,1436,25,31,11,5
E01006524,2235,36,125,24,11
E01006525,1173,3,28,3,2
E01006526,1359,6,31,5,3
E01006527,1415,5,20,10,4
E01006528,1378,35,38,9,1
E01006529,1248,15,31,9,1
E01006530,1411,3,11,4,2
E01006531,1427,18,10,1,2
E01006532,1466,20,63,4,4
E01006533,1361,2,41,3,1
E01006534,1441,13,75,12,1
E01006535,1597,13,22,6,1
E01006536,1799,12,27,9,1
E01006537,2180,23,46,6,2
E01006538,1303,4,8,3,0
E01006539,1359,11,54,9,4
E01006540,1394,47,63,5,0
E01006541,1577,7,6,3,0
E01006542,1367,10,12,5,3
E01006543,1242,3,2,0,0
E01006544,1637,5,15,1,0
E01006545,1485,4,16,7,0
E01006546,1282,13,21,3,0
E01006547,1407,22,59,1,1
E01006548,1580,51,36,7,1
E01006549,1387,122,120,29,4
E01006550,1512,16,53,13,1
E01006551,1456,42,63,19,1
E01006552,1406,198,408,16,1
E01006553,1763,23,69,14,11
E01006554,1561,30,78,16,7
E01006556,1417,213,338,41,2
E01006557,1863,44,118,22,7
E01006558,1315,6,31,5,0
E01006560,1776,38,37,8,1
E01006562,1450,25,35,3,1
E01006563,1656,32,45,10,0
E01006564,1660,13,47,1,0
E01006565,1497,5,44,2,1
E01006566,1449,26,29,2,0
E01006567,1600,13,38,3,1
E01006568,1579,23,8,2,5
E01006569,1418,7,2,1,1
E01006570,1445,3,27,4,0
E01006571,1446,11,11,1,1
E01006572,1184,11,11,1,0
E01006573,1446,9,41,4,1
E01006574,1355,11,19,3,0
E01006575,1253,5,27,5,4
E01006576,1666,1,23,3,0
E01006577,1470,11,19,3,0
E01006578,1341,4,30,3,2
E01006579,1597,10,33,1,2
E01006580,1281,6,42,5,1
E01006581,1512,6,27,8,6
E01006582,1587,4,38,11,2
E01006583,1712,5,30,8,3
E01006584,1374,7,10,0,2
E01006585,1287,25,41,0,1
E01006586,1803,19,70,4,3
E01006587,1542,26,46,8,2
E01006588,1500,15,41,10,3
E01006589,1459,6,47,6,0
E01006590,1582,8,38,10,4
E01006591,1540,21,49,22,1
E01006592,1518,15,23,7,2
E01006593,1476,17,36,12,0
E01006594,1307,13,77,8,5
E01006595,1686,14,35,7,3
E01006596,1379,8,57,5,2
E01006597,1612,15,35,4,1
E01006598,1338,8,12,3,0
E01006599,1093,18,10,0,0
E01006600,1395,7,4,1,0
E01006603,1396,5,9,0,0
E01006604,1356,6,4,1,0
E01006605,1509,8,11,3,0
E01006606,1497,10,12,2,0
E01006607,1527,1,2,1,0
E01006608,1207,2,4,1,1
E01006609,1257,5,20,0,1
E01006610,1372,7,12,4,2
E01006611,1274,10,6,1,0
E01006612,1480,7,5,3,0
E01006613,1346,2,9,2,1
E01006614,1300,2,18,2,0
E01006615,1283,3,11,3,2
E01006616,1403,7,15,3,0
E01006617,1392,10,17,2,0
E01006618,1634,2,2,1,0
E01006619,1586,4,8,1,0
E01006620,1400,4,12,1,0
E01006621,1409,19,37,1,2
E01006622,1508,1,9,1,0
E01006623,1396,8,56,1,1
E01006624,1489,25,39,3,0
E01006625,1398,3,11,4,0
E01006626,1418,5,20,4,1
E01006627,1344,12,18,3,1
E01006628,1750,39,59,21,5
E01006629,1200,8,38,8,1
E01006630,1239,44,47,8,0
E01006632,1711,49,78,3,1
E01006633,1415,0,11,5,1
E01006637,1480,62,53,0,1
E01006638,1154,24,41,0,0
E01006639,1461,11,34,1,2
E01006640,1807,15,48,8,2
E01006641,1527,20,191,0,2
E01006642,1253,10,26,0,1
E01006643,1754,21,45,2,0
E01006644,1980,24,30,3,3
E01006645,1396,20,6,1,1
E01006646,1760,34,89,10,6
E01006647,1392,17,12,1,0
E01006648,2034,33,89,16,3
E01006651,1605,9,21,3,4
E01006652,1459,1,45,0,0
E01006653,1479,1,35,5,0
E01006654,1468,2,40,1,2
E01006655,1624,21,107,6,0
E01006656,1478,8,6,0,1
E01006657,1188,2,18,3,0
E01006658,1272,3,24,1,0
E01006659,1687,24,44,9,1
E01006660,1319,6,106,2,0
E01006661,1605,33,21,4,0
E01006662,1710,21,43,1,0
E01006663,1125,7,20,1,0
E01006664,1726,23,38,5,3
E01006665,1523,8,22,2,0
E01006666,1426,14,58,4,2
E01006667,1418,8,22,3,2
E01006668,1485,6,37,1,5
E01006669,1376,31,60,0,3
E01006670,1477,4,43,1,1
E01006671,1280,15,56,2,2
E01006672,1899,14,36,3,3
E01006673,1350,273,269,42,3
E01006674,1197,342,325,21,0
E01006675,1491,115,171,44,3
E01006676,1303,203,215,28,4
E01006677,813,100,119,7,1
E01006678,1906,92,108,18,3
E01006679,1353,484,354,31,10
E01006680,1528,8,30,1,2
E01006681,1513,7,60,4,1
E01006682,1282,3,17,6,2
E01006683,1481,2,24,3,0
E01006684,2074,10,42,8,4
E01006685,1451,14,13,5,1
E01006686,1389,14,20,10,0
E01006687,1824,53,61,11,3
E01006688,1486,10,15,10,3
E01006689,1613,14,13,7,4
E01006690,1309,85,82,14,2
E01006691,1147,170,172,10,4
E01006692,1979,115,73,11,2
E01006693,1401,27,76,6,1
E01006694,1452,306,97,7,2
E01006695,1525,166,114,16,0
E01006696,1438,135,165,4,2
E01006697,1506,145,175,18,1
E01006698,1694,6,12,4,0
E01006699,1565,23,4,2,0
E01006700,1392,9,31,5,1
E01006701,1347,5,23,5,0
E01006702,1561,22,35,0,0
E01006703,1509,35,15,2,0
E01006705,1368,22,16,1,2
E01006706,1323,9,8,6,0
E01006707,1298,11,7,7,0
E01006708,1791,3,6,5,0
E01006709,1423,1,8,2,4
E01006710,1474,9,5,7,1
E01006711,1444,30,55,8,1
E01006712,1292,0,45,1,1
E01006713,1329,10,32,6,0
E01006716,1496,12,74,3,4
E01006717,1381,19,27,8,1
E01006718,1533,14,34,3,3
E01006719,1518,2,14,1,0
E01006720,1670,153,263,14,8
E01006721,1480,39,118,17,1
E01006722,1505,83,185,16,4
E01006723,1655,49,141,27,3
E01006724,1641,37,90,18,4
E01006725,1446,25,58,5,3
E01006726,1365,63,121,13,3
E01006727,1360,28,40,9,4
E01006728,1497,34,78,14,0
E01006729,1373,16,7,2,2
E01006730,1303,10,8,1,4
E01006731,1160,9,23,1,3
E01006732,1615,10,13,5,0
E01006734,1371,19,17,2,3
E01006735,1262,9,33,4,1
E01006736,1423,20,13,3,1
E01006737,1409,19,7,0,0
E01006738,1484,9,6,2,0
E01006739,1726,19,20,4,0
E01006740,1226,5,41,8,0
E01006741,1796,4,7,7,1
E01006742,1381,4,6,2,1
E01006743,2102,15,45,11,2
E01006744,1461,8,9,3,1
E01006745,1838,4,30,7,0
E01006746,1327,44,136,4,2
E01006747,2551,163,812,24,2
E01006748,1558,60,272,40,6
E01006751,1843,139,568,21,1
E01006752,789,62,152,8,1
E01006753,1532,16,8,1,0
E01006754,1613,10,1,3,0
E01006755,1540,23,12,12,0
E01006756,1768,25,21,5,1
E01006757,1475,7,6,3,0
E01006758,1487,23,16,1,0
E01006759,1034,28,26,6,1
E01006760,1462,71,63,10,5
E01006761,1553,7,81,3,0
E01006762,1649,7,31,1,4
E01006763,1441,16,11,1,2
E01006764,1428,36,51,5,2
E01006765,1439,8,17,2,2
E01006766,1175,43,41,5,2
E01006767,1673,63,41,6,4
E01006768,1273,14,66,6,0
E01006769,1233,9,21,6,1
E01006770,977,2,17,6,0
E01006771,1407,9,8,0,1
E01006772,1059,6,22,2,2
E01006773,1354,5,15,4,1
E01006774,1340,13,83,7,2
E01006775,1295,3,14,6,1
E01006776,1637,13,20,4,3
E01006778,2107,51,37,9,1
E01006779,1949,6,11,2,0
E01006780,1442,7,10,4,2
E01006781,1454,0,10,1,5
E01006782,1535,5,20,0,0
E01006783,1516,6,22,2,2
E01006784,1325,4,18,0,0
E01006785,1718,34,12,3,2
E01006786,1795,5,15,5,0
E01006787,2187,53,75,13,2
E01006788,1788,6,26,3,2
E01006790,1556,15,12,3,1
E01006791,1620,24,18,12,0
E01006792,1319,16,29,3,1
E01006793,1428,14,41,5,6
E01006794,1521,15,36,16,5
E01006795,1370,1,24,10,2
E01006796,1461,6,103,19,2
E01006797,1469,7,11,7,5
E01006798,1367,7,27,9,0
E01006799,1779,11,19,8,4
E01006800,1323,14,55,7,2
E01006801,1321,4,26,3,1
E01032505,1254,4,53,4,2
E01032506,1349,11,35,4,4
E01032507,1496,11,14,14,4
E01032508,1602,22,93,4,2
E01032509,1385,18,27,3,1
E01032510,1752,18,33,5,1
E01032511,1355,11,9,1,2
E01033747,970,16,45,9,3
E01033748,1157,40,63,15,2
E01033749,1023,33,73,24,0
E01033750,1235,53,129,26,5
E01033751,1674,64,99,35,1
E01033752,1024,19,114,33,6
E01033753,869,24,129,22,7
E01033754,1262,37,112,32,9
E01033755,952,22,85,14,9
E01033756,886,31,221,42,5
E01033757,731,39,223,29,3
E01033758,1107,50,557,14,2
E01033759,1097,27,20,1,2
E01033760,1734,37,312,28,4
E01033761,1138,52,138,33,11
E01033762,1570,53,155,10,3
E01033763,1302,68,142,11,4
E01033764,2106,32,49,15,0
E01033765,1277,21,33,17,3
E01033766,1028,12,20,8,7
E01033767,1003,29,29,5,1
E01033768,1016,69,111,21,6
